Ticker,Close,D200,Distance_%,ROC_4W_%,RSI,State,Signal
ALAB,174.4499969482422,139.10794992446898,25.406202192586957,24.393889129408,52.46478583552178,P1,🟡 BUY
AMD,227.9199981689453,168.04569980621338,35.62977120615265,15.047194723513686,61.402274554555596,P1,🟡 BUY
ARM,105.11000061035156,137.19237522125243,-23.384954564101022,-8.264968641444431,35.20221729023572,N2,🔵 SELL
ASML,1331.5999755859375,868.2675262451172,53.36286747294735,31.136561377019206,82.06555078304173,P1,🟡 BUY
GOOG,333.1600036621094,226.22413177490233,47.26987834949918,11.776154596731999,76.00354994791232,P1,🟡 BUY
MRVL,80.37999725341797,75.04436113357544,7.109976071813513,-1.5448726562913226,33.96558148152792,P2,⚪ HOLD
NU,16.610000610351562,14.179850015640259,17.138055706025572,4.728883795142815,48.08260898186444,P1,🟡 BUY
NVDA,187.0500030517578,163.66164138793945,14.290680128509264,9.424359646814471,46.6893087431057,P1,🟡 BUY
PLTR,177.07000732421875,155.00747512817384,14.23320531980904,-0.12408255978611359,32.84510700597278,P1,🟡 BUY
TSLA,438.57000732421875,368.2787003326416,19.086443752540582,-6.140050901380795,28.54393953418527,P1,🟡 BUY
TSM,341.6400146484375,244.77888381958007,39.5708687438297,23.35356195439883,77.63158930719761,P1,🟡 BUY
