Ticker,Close,D200,Distance_%,ROC_4W_%,RSI,State,Signal,Support,Resistance,To_Support_%,To_Resistance_%,52W_High,52W_Low,SMA_50,SMA_100,Risk_Level
ALAB,174.4499969482422,139.10794992446898,25.406202192586957,24.393889129408,52.46478583552178,P1,🟡 BUY,131.4199981689453,201.86000061035156,24.66609316826959,15.712240837838298,262.8999938964844,47.125,160.14920013427735,178.38184997558594,HIGH (Far from support)
AMD,227.9199981689453,168.04569980621338,35.62977120615265,15.047194723513686,61.402274554555596,P1,🟡 BUY,194.27999877929688,267.0799865722656,14.75956461034755,17.181462231450634,267.0799865722656,76.4800033569336,220.88179992675782,206.99419998168946,HIGH (Far from support)
ARM,105.11000061035156,137.19237522125243,-23.384954564101022,-8.264968641444431,35.20221729023572,N2,🔵 SELL,102.01000213623047,183.16000366210938,2.9492897499001596,74.25554428554652,183.16000366210938,80.0,128.81620010375977,141.39520011901857,LOW (Near support)
ASML,1331.5999755859375,868.2675268554688,53.36286736514042,31.136561377019206,82.06555078304173,P1,🟡 BUY,946.1099853515625,1358.0,28.949383996853083,1.9825792203432435,1358.0,574.2459169736106,1093.2815881347656,1011.4660083007813,HIGH (Far from support)
GOOG,333.1600036621094,226.22413261413575,47.269877803165755,11.776154596731999,76.00354994791232,P1,🟡 BUY,244.5104677649344,341.20001220703125,26.608696999260236,2.413257430827755,341.20001220703125,142.26866053002584,308.9164611816406,277.3625207519531,HIGH (Far from support)
MRVL,80.37999725341797,75.04436113357544,7.109976071813513,-1.5448726562913226,33.96558148152792,P2,⚪ HOLD,73.56706958165222,102.696101032751,8.475899358750034,27.76325521507043,127.05557500687108,46.93322185465556,86.9259651184082,83.11280979156494,MODERATE
NU,16.610000610351562,14.179850015640259,17.138055706025572,4.728883795142815,48.08260898186444,P1,🟡 BUY,15.03499984741211,18.3700008392334,9.482243859508907,10.596027478680412,18.3700008392334,9.010000228881836,16.601000080108644,16.022500009536742,MODERATE
NVDA,187.0500030517578,163.66164138793945,14.290680128509264,9.424359646814471,46.6893087431057,P1,🟡 BUY,169.54056066153746,212.1781954922272,9.360835126731002,13.433943881581367,212.1781954922272,86.60427995314998,184.80265197753906,183.6435659790039,MODERATE
PLTR,177.07000732421875,155.00747512817384,14.23320531980904,-0.12408255978611359,32.84510700597278,P1,🟡 BUY,147.55999755859375,207.52000427246094,16.66573024509542,17.196586484851515,207.52000427246094,66.12000274658203,178.60030029296874,177.17975006103515,HIGH (Far from support)
TSLA,438.57000732421875,368.2787003326416,19.086443752540582,-6.140050901380795,28.54393953418527,P1,🟡 BUY,382.7799987792969,498.8299865722656,12.720890077573946,13.740104941444134,498.8299865722656,214.25,443.2040020751953,428.20570098876954,HIGH (Far from support)
TSM,341.6400146484375,244.77888404846192,39.57086861332319,23.35356195439883,77.63158930719761,P1,🟡 BUY,266.10162256155746,351.3299865722656,22.11052243532197,2.8363105925397907,351.3299865722656,132.98125764074712,297.8170544433594,286.27401153564455,HIGH (Far from support)
