Ticker,Close,D200,Distance_%,ROC_4W_%,State,Signal
ALAB,172.1199951171875,139.09629991531372,23.741605795394744,22.732450353175018,P1,🟡 BUY
AMAT,323.4276123046875,198.1053578567505,63.260406383636145,30.272528593404196,P1,🟡 BUY
AMD,235.5399932861328,168.0837997817993,40.13247772355387,18.893540235457188,P1,🟡 BUY
ARM,107.05500030517578,137.20210021972656,-21.972768540912107,-6.567465007527518,N2,🔵 SELL
ASML,1336.35498046875,868.2913018798828,53.90629591422741,31.604836385351636,P1,🟡 BUY
AVGO,346.7099914550781,296.2575825500488,17.029913115052857,6.549721686628457,P1,🟡 BUY
BKNG,5181.669921875,5271.248386230469,-1.6993785492913853,-2.9827870386394553,N1,⚪ HOLD
CEG,345.3299865722656,318.2308561706543,8.515557142290172,1.2787005707110193,P2,⚪ HOLD
COST,956.8162841796875,948.7768756103516,0.8473444890996267,10.91592848786917,P1,🟡 BUY
DASH,210.16000366210938,228.5123999786377,-8.031247458887997,-5.033890300960821,N2,🔵 SELL
FANG,151.83999633789062,141.75729217529297,7.112652906863986,-1.4474011036005077,P2,⚪ HOLD
FTNT,77.58999633789062,90.28450008392333,-14.06055716566257,-2.254977295870679,N2,🔵 SELL
GOOG,332.760009765625,226.22213272094726,47.09436506643488,11.641955475829926,P1,🟡 BUY
GOOGL,332.2749938964844,225.24457580566406,47.51742309797673,11.982674753811123,P1,🟡 BUY
META,618.3300170898438,674.6497584533691,-8.347996965512609,-4.799073581240377,N2,🔵 SELL
MRNA,39.599998474121094,27.56574993133545,43.65652511817092,29.7935043495488,P1,🟡 BUY
MRVL,82.08350372314453,75.05287858963013,9.367562264941308,0.5417030110228297,P2,⚪ HOLD
MSFT,458.05499267578125,480.6634313964844,-4.703590338673826,-3.794212094990866,N1,⚪ HOLD
MU,342.20001220703125,159.9048931121826,114.00221440813445,51.79950386196129,P1,🟡 BUY
NFLX,89.125,113.11331508636475,-21.20733095661558,-5.97636972340125,N2,🔵 SELL
NVDA,186.95350646972656,163.66115894317628,14.232055838390753,9.367909090681874,P1,🟡 BUY
PANW,192.66839599609375,192.80419219970702,-0.07043218410552483,5.030742167393505,N1,⚪ HOLD
PLTR,178.25999450683594,155.0134250640869,14.996487841706774,0.5471268867034224,P1,🟡 BUY
TSLA,442.70001220703125,368.2993503570557,20.201138497215986,-5.256173660338043,P1,🟡 BUY
TSM,346.5705871582031,244.80353698730468,41.570906786439124,25.133809160452543,P1,🟡 BUY
