Ticker,Total_Trades,CAGR_%,Total_Return_%,Win_Rate_%,Avg_Win_%,Avg_Loss_%,Max_Win_%,Std_Dev_%,Qualified,Qualification_Reason
NVDA,3,64.14582774153124,1103.0627416656496,66.66666666666666,290.94059050692414,-14.756115439952008,516.5945378055663,286.47838069747723,True,"Std Dev 286.5% ≥30%, Max Win 516.6% ≥150%, Avg Win 290.9% ≥40%"
AVGO,2,46.508670520316265,579.9959348209383,100.0,120.74520804522201,0.0,226.3374983793179,149.3300490725159,True,"Std Dev 149.3% ≥30%, Max Win 226.3% ≥150%, Avg Win 120.7% ≥40%"
GE,2,39.914698185545696,439.6619075311661,100.0,118.42846442335461,0.0,226.15379938747756,152.34662971744726,True,"Std Dev 152.3% ≥30%, Max Win 226.2% ≥150%, Avg Win 118.4% ≥40%"
GOOGL,2,30.864557648621926,285.7951691516877,100.0,47.43602209903989,0.0,53.817905782353705,9.025346458429967,True,Avg Win 47.4% ≥40%
LLY,3,30.383321721234324,278.72677910156256,33.33333333333333,350.8844411585241,-18.43999433062671,350.8844411585241,213.23029767401644,True,"Std Dev 213.2% ≥30%, Max Win 350.9% ≥150%, Avg Win 350.9% ≥40%"
NFLX,2,27.061173993211906,232.70901302452089,50.0,251.3512560786455,-5.175974114170623,251.3512560786455,181.39214402834273,True,"Std Dev 181.4% ≥30%, Max Win 251.4% ≥150%, Avg Win 251.4% ≥40%"
ORCL,3,24.17658222449688,196.4878956445694,100.0,47.16040598646282,0.0,93.873386767796,40.53440301312097,True,"Std Dev 40.5% ≥30%, Avg Win 47.2% ≥40%"
MU,4,23.726640603699,191.13488329677583,25.0,42.80680238113627,-10.588897151468304,42.80680238113627,26.837362987378675,True,Avg Win 42.8% ≥40%
JPM,2,20.56867202565069,155.70227325439456,100.0,44.15714113858925,0.0,73.4723191675796,41.457922351979924,True,"Std Dev 41.5% ≥30%, Avg Win 44.2% ≥40%"
META,4,20.202243179260982,151.82546371307384,75.0,58.816235770508406,-12.084795249863465,165.1683107553992,83.20084134400918,True,"Std Dev 83.2% ≥30%, Max Win 165.2% ≥150%, Avg Win 58.8% ≥40%"
AMAT,4,19.704794729025686,146.63793546371465,50.0,50.33091547805758,-12.000548985169853,57.28120168005165,36.468325599966555,True,"Std Dev 36.5% ≥30%, Avg Win 50.3% ≥40%"
LRCX,5,18.999859452261813,139.43357971401215,40.0,37.03907964405908,-14.20533369472353,59.67054166534199,32.48281864829764,True,Std Dev 32.5% ≥30%
RTX,2,18.241180049095917,131.8692599185944,50.0,21.10690970132809,-8.824817255570085,21.10690970132809,21.164927103846882,False,Does not meet criteria
AMD,4,17.209933271038658,121.8954169174195,50.0,39.38533209429559,-15.99644831951903,58.603765372816355,35.617913660878365,True,Std Dev 35.6% ≥30%
AXP,3,16.926861719164997,119.21865641708385,66.66666666666666,36.47141590612735,-12.729034122531383,42.69396731525889,29.079458506767278,False,Does not meet criteria
WMT,1,15.191327359321916,103.36680386161807,0.0,0.0,-15.720101919606192,-15.720101919606192,,False,Does not meet criteria
TJX,2,14.6117955262004,98.28305740928656,0.0,0.0,-10.37907937015429,-7.070263038813357,4.679372931183939,False,Does not meet criteria
CAT,4,14.19127842056691,94.65833357391362,50.0,33.01459827281808,-12.689230164922053,57.35549181149327,33.037605092127315,True,Std Dev 33.0% ≥30%
XOM,4,13.476707617201678,88.62077833023079,25.0,142.93852958061132,-9.198948161701603,142.93852958061132,76.22536709780339,True,"Std Dev 76.2% ≥30%, Avg Win 142.9% ≥40%"
MSFT,3,12.934122672721182,84.13730426940921,66.66666666666666,38.37376478254489,-11.79055271241829,52.64395773031042,32.287118019600534,True,Std Dev 32.3% ≥30%
