report_date,report_file,rank,ticker,quality,quality_flag,vol_rr,entry_price,vol_stop_price,target_r1,return_7d,mfe_7d,mae_7d,stop_hit_7d,r1_hit_7d,exit_reason_7d,return_14d,mfe_14d,mae_14d,stop_hit_14d,r1_hit_14d,exit_reason_14d,return_30d,mfe_30d,mae_30d,stop_hit_30d,r1_hit_30d,exit_reason_30d,return_60d,mfe_60d,mae_60d,stop_hit_60d,r1_hit_60d,exit_reason_60d,vol_rr_tier,rank_tier
2025-12-08,nasdaq100_watchlist_20251208_0900.xlsx,1,QCOM,GOOD,✓ SAFE ENTRY,4.5,171.17,162.61149999999998,209.6159780679105,0.6835288531229992,7.168313630546394,0.5141105636255331,False,False,hold,1.3203205443601465,7.168313630546394,0.5141105636255331,False,False,hold,,,,,,,,,,,,,3+:1,Top 5
2025-12-08,nasdaq100_watchlist_20251208_0900.xlsx,2,NXPI,EXCELLENT,✓ SAFE ENTRY,4.1,238.745,226.80775,288.0312682789974,-5.000000000000003,-1.5979422916579424,-6.582337314164959,True,False,stop,-5.000000000000003,-1.5979422916579424,-8.211690552828987,True,False,stop,,,,,,,,,,,,,3+:1,Top 5
2025-12-08,nasdaq100_watchlist_20251208_0900.xlsx,3,MRVL,GOOD,✓ SAFE ENTRY,3.3,83.1241,77.13916479999999,102.696101032751,-1.7838982793779854,11.62013792067766,-2.4090151104367012,False,False,hold,3.0968652528314986,11.62013792067766,-2.4090151104367012,False,False,hold,,,,,,,,,,,,,3+:1,Top 5
2025-12-08,nasdaq100_watchlist_20251208_0900.xlsx,4,CSX,EXCELLENT,✓ SAFE ENTRY,2.2,35.05,33.29749999999999,38.9538414427134,4.136947218259637,7.1041395592791625,3.1383781052180004,False,False,hold,4.764625451364131,7.1041395592791625,3.1383781052180004,False,False,hold,,,,,,,,,,,,,2-3:1,Top 5
2025-12-08,nasdaq100_watchlist_20251208_0900.xlsx,5,GEHC,EXCELLENT,✓ IDEAL,1.9,86.505,82.17975,94.62685389454592,-4.9999999999999964,-0.40369640050384276,-5.545868412822951,True,False,stop,-4.9999999999999964,-0.40369640050384276,-5.545868412822951,True,False,stop,,,,,,,,,,,,,<2:1,Top 5
2025-12-08,nasdaq100_watchlist_20251208_0900.xlsx,6,BKNG,EXCELLENT,✓ IDEAL,1.6,5374.94,5106.192999999999,5818.242674964173,-5.000000000000006,2.701609735992409,-6.934962224578315,True,False,stop,-5.000000000000006,2.701609735992409,-6.934962224578315,True,False,stop,,,,,,,,,,,,,<2:1,6-10
2025-12-08,nasdaq100_watchlist_20251208_0900.xlsx,7,TTWO,GOOD,✓ SAFE ENTRY,1.3,248.12,235.714,264.7900085449219,-3.0509418620998674,0.8302404787124155,-3.1597618977523494,False,False,hold,3.0549721700153887,3.4056131405040886,-3.1597618977523494,False,False,hold,,,,,,,,,,,,,<2:1,6-10
2025-12-08,nasdaq100_watchlist_20251208_0900.xlsx,8,AMGN,EXCELLENT,✓ SAFE ENTRY,1.3,324.68,308.44599999999997,346.3800048828125,0.4096371090381278,1.650858859468359,-3.785260980523132,False,False,hold,1.5245795499607284,2.9875584830640918,-3.785260980523132,False,False,hold,,,,,,,,,,,,,<2:1,6-10
2025-12-01,nasdaq100_watchlist_20251201_0900.xlsx,1,QCOM,GOOD,✓ SAFE ENTRY,4.5,171.17,162.61149999999998,209.6159780679105,6.449732262585267,7.168313630546394,-2.560160765811408,False,False,hold,2.383595256178076,7.168313630546394,-2.560160765811408,False,False,hold,,,,,,,,,,,,,3+:1,Top 5
2025-12-01,nasdaq100_watchlist_20251201_0900.xlsx,2,NXPI,EXCELLENT,✓ SAFE ENTRY,4.1,238.745,226.80775,288.0312682789974,-5.000000000000003,-2.578065995982902,-16.81375911719856,True,False,stop,-5.000000000000003,-1.5979422916579424,-16.81375911719856,True,False,stop,,,,,,,,,,,,,3+:1,Top 5
2025-12-01,nasdaq100_watchlist_20251201_0900.xlsx,3,MRVL,GOOD,✓ SAFE ENTRY,3.3,83.1241,77.13916479999999,102.696101032751,23.545519329233045,23.545519329233045,5.837777718203538,False,True,target,23.545519329233045,23.545519329233045,-2.4090151104367012,False,True,target,,,,,,,,,,,,,3+:1,Top 5
2025-12-01,nasdaq100_watchlist_20251201_0900.xlsx,4,CSX,EXCELLENT,✓ SAFE ENTRY,2.2,35.05,33.29749999999999,38.9538414427134,5.8202572113777284,6.3623360322307505,-2.0542030497726382,False,False,hold,4.136947218259637,7.1041395592791625,-2.0542030497726382,False,False,hold,,,,,,,,,,,,,2-3:1,Top 5
2025-12-01,nasdaq100_watchlist_20251201_0900.xlsx,5,GEHC,EXCELLENT,✓ IDEAL,1.9,86.505,82.17975,94.62685389454592,-4.9999999999999964,-0.7503633396632816,-8.307622447940572,True,False,stop,-4.9999999999999964,-0.40369640050384276,-8.307622447940572,True,False,stop,,,,,,,,,,,,,<2:1,Top 5
2025-12-01,nasdaq100_watchlist_20251201_0900.xlsx,6,BKNG,EXCELLENT,✓ IDEAL,1.6,5374.94,5106.192999999999,5818.242674964173,-5.000000000000006,-0.17395833720933815,-8.954392695599992,True,False,stop,-5.000000000000006,2.701609735992409,-8.954392695599992,True,False,stop,,,,,,,,,,,,,<2:1,6-10
2025-12-01,nasdaq100_watchlist_20251201_0900.xlsx,7,TTWO,GOOD,✓ SAFE ENTRY,1.3,248.12,235.714,264.7900085449219,-0.8463629403268849,1.2977576728561262,-2.3899716099442827,False,False,hold,-0.29018462982251714,1.2977576728561262,-3.1597618977523494,False,False,hold,,,,,,,,,,,,,<2:1,6-10
2025-12-01,nasdaq100_watchlist_20251201_0900.xlsx,8,AMGN,EXCELLENT,✓ SAFE ENTRY,1.3,324.68,308.44599999999997,346.3800048828125,6.683505261430484,6.683505261430484,-3.597388197609956,False,True,target,6.683505261430484,6.683505261430484,-3.785260980523132,False,True,target,,,,,,,,,,,,,<2:1,6-10
2025-11-24,nasdaq100_watchlist_20251124_0900.xlsx,1,QCOM,GOOD,✓ SAFE ENTRY,4.5,171.17,162.61149999999998,209.6159780679105,-5.000000000000006,2.1966423297197304,-5.913948014542781,True,False,stop,-5.000000000000006,7.168313630546394,-5.913948014542781,True,False,stop,-5.000000000000006,7.758367090168955,-5.913948014542781,True,False,stop,,,,,,,3+:1,Top 5
2025-11-24,nasdaq100_watchlist_20251124_0900.xlsx,2,NXPI,EXCELLENT,✓ SAFE ENTRY,4.1,238.745,226.80775,288.0312682789974,-5.000000000000003,-4.591650541533725,-21.42572246155353,True,False,stop,-5.000000000000003,-1.5979422916579424,-21.42572246155353,True,False,stop,-5.000000000000003,3.4115895158635503,-21.42572246155353,True,False,stop,,,,,,,3+:1,Top 5
2025-11-24,nasdaq100_watchlist_20251124_0900.xlsx,3,MRVL,GOOD,✓ SAFE ENTRY,3.3,83.1241,77.13916479999999,102.696101032751,23.545519329233045,23.545519329233045,-3.1904176022889157,False,True,target,23.545519329233045,23.545519329233045,-3.1904176022889157,False,True,target,23.545519329233045,23.545519329233045,-3.1904176022889157,False,True,target,,,,,,,3+:1,Top 5
2025-11-24,nasdaq100_watchlist_20251124_0900.xlsx,4,CSX,EXCELLENT,✓ SAFE ENTRY,2.2,35.05,33.29749999999999,38.9538414427134,3.2239666338824087,3.651931044378575,-2.414914657649315,False,False,hold,6.0770336809580145,7.1041395592791625,-2.414914657649315,False,False,hold,0.7703272320234568,7.1041395592791625,-2.414914657649315,False,False,hold,,,,,,,2-3:1,Top 5
2025-11-24,nasdaq100_watchlist_20251124_0900.xlsx,5,GEHC,EXCELLENT,✓ IDEAL,1.9,86.505,82.17975,94.62685389454592,-4.9999999999999964,-2.8072293092470604,-9.694267123510885,True,False,stop,-4.9999999999999964,-0.40369640050384276,-9.694267123510885,True,False,stop,-4.9999999999999964,3.7331411341844234,-9.694267123510885,True,False,stop,,,,,,,<2:1,Top 5
