Ticker,Close,D200,Distance_%,ROC_4W_%,State,Signal
ANET,131.25970458984375,118.52849784851074,10.741051285071165,7.273376867521264,P1,🟡 BUY
APH,154.74000549316406,110.13117742538452,40.50517674525243,22.314443822816887,P1,🟡 BUY
AXON,636.0250244140625,683.2468745422364,-6.911389116827162,15.640913529829545,N2,🔵 SELL
AVGO,342.9599914550781,296.2388312530518,15.771450354567595,5.397284588845463,P1,🟡 BUY
CAH,213.88999938964844,165.16715015411376,29.499116010703393,8.054422293097966,P1,🟡 BUY
CEG,342.94000244140625,318.2189051055908,7.768582236687835,0.5777637955392979,P2,⚪ HOLD
DECK,103.58000183105469,104.44425003051758,-0.8274732206036882,1.1622252646741966,N1,⚪ HOLD
DVN,36.220001220703125,33.37848686218262,8.513011300520947,-1.975641480821055,P2,⚪ HOLD
GE,319.2200012207031,267.38715744018555,19.384941399854842,9.379521556396766,P1,🟡 BUY
GOOG,332.739990234375,226.22203186035156,47.08558114259079,11.635238864606018,P1,🟡 BUY
GOOGL,332.3599853515625,225.24500076293944,47.55487767799869,12.011318409354555,P1,🟡 BUY
JPM,310.69000244140625,287.00890655517577,8.250996866425792,-0.9170585027596817,P2,⚪ HOLD
LLY,1032.1300048828125,836.5799618530274,23.37493747718283,-0.9272534596683705,P1,🟡 BUY
MCK,840.0399780273438,745.3780126953125,12.699860167558521,4.156122313687336,P1,🟡 BUY
MPC,178.33999633789062,170.05827640533448,4.869930536527746,2.2005709672725646,P2,⚪ HOLD
MU,338.6300048828125,159.8870435333252,111.79327442641215,50.21585301079735,P1,🟡 BUY
NFLX,88.34500122070312,113.10941509246827,-21.89421088555709,-6.799240038585628,N2,🔵 SELL
NVDA,188.55999755859375,163.66919151306152,15.207997189590708,10.30770730404498,P1,🟡 BUY
ORCL,190.9040069580078,216.5724592590332,-11.852131332324406,7.255767819544746,N2,🔵 SELL
PWR,448.2995910644531,386.06519233703614,16.120178654460556,8.247789376539265,P1,🟡 BUY
SMCI,29.610000610351562,41.894250030517576,-29.32204159572647,-0.7707759418908089,N2,🔵 SELL
VST,180.875,175.4975222015381,3.0641331746476257,13.225723042559997,P1,🟡 BUY
WMB,60.68000030517578,58.62197036743164,3.5106802532306367,3.127124656383883,P2,⚪ HOLD
