Ticker,Total_Trades,CAGR_%,Total_Return_%,Win_Rate_%,Avg_Win_%,Avg_Loss_%,Max_Win_%,Std_Dev_%,Qualified,Qualification_Reason
NVDA,3,64.1458295231216,1103.0628072052002,66.66666666666666,290.9406515362311,-14.75609696828138,516.5946697903153,286.478451725358,True,"Std Dev 286.5% ≥30%, Max Win 516.6% ≥150%, Avg Win 290.9% ≥40%"
PLTR,5,53.6141444332785,762.4645382341862,0.0,0.0,-14.969031355031401,-7.94705776239373,5.340521226437557,False,Does not meet criteria
AVGO,2,46.508668677111146,579.9958918817522,100.0,120.7451799943385,0.0,226.3374439835871,149.33001181527553,True,"Std Dev 149.3% ≥30%, Max Win 226.3% ≥150%, Avg Win 120.7% ≥40%"
GOOGL,2,30.864558850835188,285.7951869407654,100.0,47.43603666672233,0.0,53.8179139886137,9.025337462020056,True,Avg Win 47.4% ≥40%
GOOG,3,29.351292239025774,263.9177985317231,66.66666666666666,52.803910715171014,-11.784877130533438,60.32187714118614,38.04064042978899,True,"Std Dev 38.0% ≥30%, Avg Win 52.8% ≥40%"
NFLX,2,27.061173993211906,232.70901302452089,50.0,251.3512560786455,-5.175974114170623,251.3512560786455,181.39214402834273,True,"Std Dev 181.4% ≥30%, Max Win 251.4% ≥150%, Avg Win 251.4% ≥40%"
MU,4,23.72664237161233,191.1349041767121,25.0,42.80682285487277,-10.588897323716123,42.80682285487277,26.83737375490009,True,Avg Win 42.8% ≥40%
CEG,2,22.325963164013984,174.96427458152775,50.0,150.66225630104327,-23.66730495965282,150.66225630104327,123.26961492871386,True,"Std Dev 123.3% ≥30%, Max Win 150.7% ≥150%, Avg Win 150.7% ≥40%"
META,4,20.20224999643179,151.82553539810186,75.0,58.81625410033937,-12.084802403176678,165.16832105056162,83.2008420126256,True,"Std Dev 83.2% ≥30%, Max Win 165.2% ≥150%, Avg Win 58.8% ≥40%"
AMAT,4,19.704798020056224,146.6379694980622,50.0,50.33093915501688,-12.000548600044898,57.28122679353955,36.46833929005111,True,"Std Dev 36.5% ≥30%, Avg Win 50.3% ≥40%"
DASH,2,18.675145926193547,136.17225032806402,50.0,228.4617399426221,-30.244186101219643,228.4617399426221,182.93271463874595,True,"Std Dev 182.9% ≥30%, Max Win 228.5% ≥150%, Avg Win 228.5% ≥40%"
AMD,4,17.209933271038658,121.8954169174195,50.0,39.38533209429559,-15.99644831951903,58.603765372816355,35.617913660878365,True,Std Dev 35.6% ≥30%
TSM,5,16.34202186267597,113.77021809997561,20.0,77.56296747009526,-5.894301758760794,77.56296747009526,37.50356347276008,True,"Std Dev 37.5% ≥30%, Avg Win 77.6% ≥40%"
ASML,4,14.33952574806392,95.93007014465343,75.0,20.48488364456784,-18.766150175231285,39.69852794359452,25.018105214520784,False,Does not meet criteria
MSFT,3,12.934114160454758,84.13723460693363,66.66666666666666,38.373753014408,-11.790599474401496,52.64393926814929,32.287133184241924,True,Std Dev 32.3% ≥30%
PANW,4,11.903393766653213,75.85534896011359,50.0,56.32993214634395,-12.92229718252585,81.285924149529,44.93213040317858,True,"Std Dev 44.9% ≥30%, Avg Win 56.3% ≥40%"
FANG,6,11.031166246488745,69.08241735515595,33.33333333333333,78.40312899843221,-12.298299165779586,130.97622636754414,57.45625622295118,True,"Std Dev 57.5% ≥30%, Avg Win 78.4% ≥40%"
COST,5,6.991652528240899,40.3827992889405,40.0,50.544130026322435,-12.777906775711186,84.68844457210876,42.404093498852305,True,"Std Dev 42.4% ≥30%, Avg Win 50.5% ≥40%"
MRNA,4,5.993280099536147,33.929973410987984,25.0,121.26238206057347,-18.030976406796686,121.26238206057347,69.95231180192037,True,"Std Dev 70.0% ≥30%, Avg Win 121.3% ≥40%"
TSLA,5,5.159336529277758,28.723943987274215,40.0,5.8966150722174175,-6.115653582238003,9.932422132530707,9.83364975982433,False,Does not meet criteria
MRVL,5,3.2202495715254464,17.243623911666948,60.0,11.941338324800364,-8.631340161851044,29.947236340160423,16.17476165978057,False,Does not meet criteria
FTNT,6,2.567611265568792,13.569821021747702,33.33333333333333,43.707286800047456,-12.110029687232945,83.29959174766294,38.310091458330824,True,"Std Dev 38.3% ≥30%, Avg Win 43.7% ≥40%"
BKNG,7,-0.10286975381048613,-0.5152607421874563,28.57142857142857,38.25523029756955,-12.034824781211093,56.41564979885978,26.917793006568363,False,Does not meet criteria
ALAB,1,-3.087115340241642,-14.563055158996576,0.0,0.0,-53.68500266501955,-53.68500266501955,,False,Does not meet criteria
ARM,3,-10.815280878006117,-43.701568997955306,0.0,0.0,-17.095548491655634,-10.655702258170898,10.413431063285344,False,Does not meet criteria
